,Sentence #,Word,Tag
378,14,.,null
379,15,Au,target
380,15,was,null
381,15,deposited,operation
382,15,on,null
383,15,the,null
384,15,metal,unspecified-material
385,15,oxides,unspecified-material
386,15,by,null
387,15,the,null
388,15,deposition,meta
389,15,-,meta
390,15,precipitation,meta
391,15,method.30,reference
392,15,A,null
393,15,solution,material-descriptor
394,15,of,null
395,15,HAuCl4*3H2O,precursor
396,15,(,null
397,15,175,number
398,15,mg,amount-unit
399,15,),null
400,15,in,null
401,15,deionized,material-descriptor
402,15,water,solvent
403,15,(,null
404,15,80,number
405,15,mL,amount-unit
406,15,),null
407,15,was,null
408,15,brought,operation
409,15,to,null
410,15,pH,condition-unit
411,15,10,number
412,15,by,null
413,15,adding,operation
414,15,a,null
415,15,NaOH,material
416,15,solution,material-descriptor
417,15,(,null
418,15,0.2,number
419,15,M,amount-unit
420,15,),null
421,15,.,null
422,16,This,null
423,16,solution,unspecified-material
424,16,was,null
425,16,mixed,operation
426,16,with,null
427,16,a,null
428,16,suspension,material-descriptor
429,16,containing,null
430,16,the,null
431,16,metal,unspecified-material
432,16,oxide,unspecified-material
433,16,(,null
434,16,2,number
435,16,g,amount-unit
436,16,),null
437,16,in,null
438,16,deionized,material-descriptor
439,16,water,solvent
440,16,(,null
441,16,25,number
442,16,mL,amount-unit
443,16,),null
444,16,.,null
445,17,After,null
446,17,stirring,operation
447,17,for,null
448,17,18,number
449,17,h,condition-unit
450,17,",",null
451,17,the,null
452,17,suspension,unspecified-material
453,17,was,null
454,17,filtered,operation
455,17,and,null
456,17,washed,operation
457,17,with,null
458,17,an,null
459,17,excess,amount-misc
460,17,amount,amount-misc
461,17,of,null
462,17,deionized,material-descriptor
463,17,water,material
464,17,until,null
465,17,no,null
466,17,more,null
467,17,chlorine,nonrecipe-material
468,17,could,null
469,17,be,null
470,17,detected,operation
471,17,by,null
472,17,the,null
473,17,AgCl,characterization-apparatus
474,17,test,characterization-apparatus
475,17,.,null
476,18,The,null
477,18,supported,material-descriptor
478,18,Au,material
479,18,catalyst,material-descriptor
480,18,was,null
481,18,dried,operation
482,18,overnight,condition-misc
483,18,at,null
484,18,80,number
485,18,degC,condition-unit
486,18,and,null
487,18,then,null
488,18,reduced,operation
489,18,for,null
490,18,4,number
491,18,h,condition-unit
492,18,at,null
493,18,225,number
494,18,degC,condition-unit
495,18,in,null
496,18,5,number
497,18,%,amount-unit
498,18,H2,gas
499,18,in,null
500,18,N2,gas
501,18,(,null
502,18,100,number
503,18,mL,condition-unit
504,18,min-1,condition-unit
505,18,),null
506,18,.,null
507,19,The,null
508,19,Au,target
509,19,/,target
510,19,AC,target
511,19,catalyst,property-misc
512,19,was,null
513,19,prepared,operation
514,19,according,null
515,19,to,null
516,19,the,null
517,19,procedure,null
518,19,reported,null
519,19,by,null
520,19,Biella,reference
521,19,et,reference
522,19,al.12,reference
523,19,A,null
524,19,solution,material-descriptor
525,19,of,null
526,19,HAuCl4*3H2O,precursor
527,19,(,null
528,19,1,number
529,19,L,amount-unit
530,19,",",null
531,19,100,number
532,19,μg,amount-unit
533,19,mL-1,amount-unit
534,19,),null
535,19,was,null
536,19,mixed,operation
537,19,with,null
538,19,2.5,number
539,19,g,amount-unit
540,19,of,null
541,19,a,null
542,19,2,number
543,19,wt,amount-unit
544,19,%,amount-unit
545,19,solution,material-descriptor
546,19,of,null
547,19,poly(vinyl,precursor
548,19,alcohol,precursor
549,19,),precursor
550,19,(,null
551,19,PVA,precursor
552,19,",",null
553,19,MW,amount-unit
554,19,~,null
555,19,10000,number
556,19,),null
557,19,.,null
558,20,To,null
559,20,this,null
560,20,solution,unspecified-material
561,20,",",null
562,20,0.1,number
563,20,M,amount-unit
564,20,NaBH4,precursor
565,20,solution,material-descriptor
566,20,(,null
567,20,20,number
568,20,mL,amount-unit
569,20,),null
570,20,was,null
571,20,added,operation
572,20,dropwise,condition-misc
573,20,",",null
574,20,leading,null
575,20,to,null
576,20,the,null
577,20,formation,operation
578,20,of,null
579,20,metallic,property-misc
580,20,Au,target
581,20,NPs,target
582,20,.,null
583,21,The,null
584,21,PVA,material-descriptor
585,21,stabilized,material-descriptor
586,21,Au,material
587,21,NPs,material
588,21,were,null
589,21,then,null
590,21,immobilized,operation
591,21,on,null
592,21,activated,material-descriptor
593,21,carbon,material
594,21,(,null
595,21,Darco(r),brand
596,21,",",null
597,21,100,number
598,21,mesh,property-unit
599,21,),null
600,21,by,null
601,21,adding,operation
602,21,2,number
603,21,g,amount-unit
604,21,of,null
605,21,the,null
606,21,support,unspecified-material
607,21,.,null
608,22,The,null
609,22,as-synthesized,null
610,22,Au,material
611,22,/,material
612,22,AC,material
613,22,catalyst,material-descriptor
614,22,was,null
615,22,filtered,operation
616,22,after,null
617,22,2,number
618,22,h,condition-unit
619,22,and,null
620,22,washed,operation
621,22,with,null
622,22,deionized,material-descriptor
623,22,water,solvent
624,22,.,null
625,23,Nanosized,property-misc
626,23,ceria,target
627,23,and,null
628,23,zirconia,target
629,23,",",null
630,23,hereafter,null
631,23,referred,null
632,23,to,null
633,23,as,null
634,23,nCeO2,target
635,23,and,null
636,23,nZrO2,target
637,23,",",null
638,23,were,null
639,23,synthesized,operation
640,23,according,null
641,23,to,null
642,23,a,null
643,23,previously,null
644,23,reported,null
645,23,method.30,reference
646,23,Briefly,null
647,23,",",null
648,23,an,null
649,23,aqueous,material-descriptor
650,23,solution,material-descriptor
651,23,of,null
652,23,Ce(NO3)3*6H2O,precursor
653,23,or,null
654,23,ZrO(NO3)2*xH2O,precursor
655,23,(,null
656,23,0.8,number
657,23,M,amount-unit
658,23,",",null
659,23,375,number
660,23,mL,amount-unit
661,23,),null
662,23,was,null
663,23,added,operation
664,23,to,null
665,23,a,null
666,23,solution,material-descriptor
667,23,of,null
668,23,NH4OH,precursor
669,23,in,null
670,23,deionized,material-descriptor
671,23,water,solvent
672,23,(,null
673,23,0.8,number
674,23,M,amount-unit
675,23,",",null
676,23,1.1,number
677,23,L,amount-unit
678,23,),null
679,23,.,null
680,24,After,null
681,24,stirring,operation
682,24,for,null
683,24,30,number
684,24,min,condition-unit
685,24,",",null
686,24,the,null
687,24,solution,unspecified-material
688,24,was,null
689,24,aged,operation
690,24,at,null
691,24,100,number
692,24,degC,condition-unit
693,24,for,null
694,24,24,number
695,24,h,condition-unit
696,24,in,null
697,24,a,null
698,24,polyethylene,apparatus-descriptor
699,24,vessel,synthesis-apparatus
700,24,.,null
701,25,The,null
702,25,mixture,unspecified-material
703,25,was,null
704,25,cooled,operation
705,25,down,null
706,25,",",null
707,25,filtered,operation
708,25,and,null
709,25,washed,operation
710,25,with,null
711,25,an,null
712,25,excess,amount-misc
713,25,amount,amount-misc
714,25,of,null
715,25,deionized,material-descriptor
716,25,water,material
717,25,.,null
718,26,The,null
719,26,resulting,null
720,26,particles,unspecified-material
721,26,were,null
722,26,dried,operation
723,26,under,null
724,26,vacuum,condition-misc
725,26,and,null
726,26,calcined,operation
727,26,under,null
728,26,an,null
729,26,air,gas
730,26,flow,condition-type
731,26,of,null
732,26,100,number
733,26,mL,condition-unit
734,26,min-1,condition-unit
735,26,at,null
736,26,400,number
737,26,degC,condition-unit
738,26,for,null
739,26,4,number
740,26,h,condition-unit
741,26,.,null
742,27,The,null
743,27,other,null
744,27,support,material-descriptor
745,27,materials,unspecified-material
746,27,were,null
747,27,purchased,operation
748,27,from,null
749,27,Sigma,brand
750,27,Aldrich,brand
751,27,and,null
752,27,used,operation
753,27,as,null
754,27,received,null
755,27,(,null
756,27,see,null
757,27,ESI+,null
758,27,),null
759,27,.,null
760,28,The,null
761,28,mixed,null
762,28,titania,target
763,28,phases,null
764,28,were,null
765,28,synthesized,operation
766,28,via,null
767,28,hydrothermal,meta
768,28,treatment,meta
769,28,in,null
770,28,alkaline,null
771,28,environment,unspecified-material
772,28,based,null
773,28,on,null
774,28,procedure,null
775,28,by,null
776,28,Yoshida,null
777,28,et,null
778,28,al.,null
779,28,[14],null
780,28,.,null
781,29,As,null
782,29,starting,null
783,29,material,null
784,29,TiO2,precursor
785,29,from,null
786,29,Umicore,brand
787,29,was,null
788,29,used,operation
789,29,which,null
790,29,was,null
791,29,mixed,operation
792,29,with,null
793,29,NaOH,material
794,29,in,null
795,29,distilled,material-descriptor
796,29,water,solvent
797,29,.,null
798,30,Throughout,null
799,30,stirring,operation
800,30,a,null
801,30,homogeneous,null
802,30,solution,unspecified-material
803,30,was,null
804,30,obtained,null
805,30,which,null
806,30,was,null
807,30,transferred,operation
808,30,into,null
809,30,a,null
810,30,Teflon,apparatus-descriptor
811,30,lined,apparatus-descriptor
812,30,autoclave,synthesis-apparatus
813,30,and,null
814,30,kept,operation
815,30,at,null
816,30,150,number
817,30,degC,condition-unit
818,30,for,null
819,30,72,number
820,30,h,condition-unit
821,30,.,null
822,31,After,null
823,31,cooling,operation
824,31,naturally,null
825,31,to,null
826,31,ambient,condition-misc
827,31,temperature,condition-misc
828,31,the,null
829,31,white,null
830,31,",",null
831,31,sorbet,null
832,31,-,null
833,31,like,null
834,31,product,unspecified-material
835,31,was,null
836,31,washed,operation
837,31,in,null
838,31,distilled,material-descriptor
839,31,water,solvent
840,31,to,null
841,31,eliminate,null
842,31,remaining,null
843,31,NaOH,material
844,31,before,null
845,31,washing,operation
846,31,in,null
847,31,0.1,number
848,31,M,amount-unit
849,31,HCl,material
850,31,at,null
851,31,pH,amount-unit
852,31,<,number
853,31,=,number
854,31,2,number
855,31,.,null
856,32,In,null
857,32,a,null
858,32,final,null
859,32,washing,operation
860,32,step,null
861,32,the,null
862,32,solution,unspecified-material
863,32,was,null
864,32,brought,operation
865,32,to,null
866,32,neutrality,condition-misc
867,32,.,null
868,33,Subsequently,null
869,33,the,null
870,33,product,unspecified-material
871,33,was,null
872,33,dried,operation
873,33,at,null
874,33,[,null
875,33,?,null
876,34,]100,number
877,34,degC,condition-unit
878,34,",",null
879,34,ground,operation
880,34,and,null
881,34,sieved,operation
882,34,to,null
883,34,a,null
884,34,50,number
885,34,μm,property-unit
886,34,mesh,property-type
887,34,.,null
888,35,In,null
889,35,a,null
890,35,final,null
891,35,preparation,null
892,35,step,null
893,35,the,null
894,35,white,null
895,35,powder,unspecified-material
896,35,samples,null
897,35,were,null
898,35,heat,operation
899,35,treated,operation
900,35,in,null
901,35,air,gas
902,35,at,null
903,35,450,number
904,35,degC,condition-unit
905,35,for,null
906,35,4,number
907,35,h,condition-unit
908,35,in,null
909,35,air,gas
910,35,.,null
911,36,NaV3(PO4)3,target
912,36,/,target
913,36,C,target
914,36,was,null
915,36,synthesized,operation
916,36,by,null
917,36,a,null
918,36,sol,meta
919,36,-,meta
920,36,gel,meta
921,36,process,meta
922,36,and,null
923,36,followed,null
924,36,by,null
925,36,carbon,null
926,36,thermal,null
927,36,reduction,null
928,36,synthesis,null
929,36,.,null
930,37,Typically,null
931,37,",",null
932,37,6,number
933,37,mmol,amount-unit
934,37,NH4VO3,precursor
935,37,were,null
936,37,added,operation
937,37,to,null
938,37,70,number
939,37,mL,amount-unit
940,37,deionized,material-descriptor
941,37,water,solvent
942,37,maintaining,operation
943,37,at,null
944,37,80,number
945,37,degC,condition-unit
946,37,with,null
947,37,continuous,null
948,37,stirring,operation
949,37,to,null
950,37,obtain,null
951,37,a,null
952,37,clear,null
953,37,yellow,null
954,37,solution,unspecified-material
955,37,",",null
956,37,and,null
957,37,then,null
958,37,6,number
959,37,mmol,amount-unit
960,37,NH4H2PO4,precursor
961,37,",",null
962,37,2,number
963,37,mmol,amount-unit
964,37,Na2CO3,precursor
965,37,and,null
966,37,4,number
967,37,mmol,amount-unit
968,37,citric,material
969,37,acid,material
970,37,were,null
971,37,added,operation
972,37,.,null
973,38,The,null
974,38,gel,unspecified-material
975,38,was,null
976,38,dried,operation
977,38,in,null
978,38,an,null
979,38,oven,synthesis-apparatus
980,38,at,null
981,38,150,number
982,38,degC,condition-unit
983,38,for,null
984,38,4,number
985,38,h,condition-unit
986,38,",",null
987,38,and,null
988,38,heat,operation
989,38,-,operation
990,38,treated,operation
991,38,at,null
992,38,400,number
993,38,degC,condition-unit
994,38,for,null
995,38,5,number
996,38,h,condition-unit
997,38,under,null
998,38,nitrogen,gas
999,38,atmosphere,null
1000,38,to,null
1001,38,remove,null
1002,38,CO2,nonrecipe-material
1003,38,",",null
1004,38,H2O,nonrecipe-material
1005,38,",",null
1006,38,and,null
1007,38,NH3,nonrecipe-material
1008,38,.,null
1009,39,Afterward,null
1010,39,",",null
1011,39,the,null
1012,39,powder,unspecified-material
1013,39,was,null
1014,39,grounded,operation
1015,39,and,null
1016,39,annealed,operation
1017,39,at,null
1018,39,900,number
1019,39,degC,condition-unit
1020,39,under,null
1021,39,H2,gas
1022,39,/,gas
1023,39,Ar,gas
1024,39,flow,null
1025,39,(,null
1026,39,10,number
1027,39,%,amount-unit
1028,39,H2,gas
1029,39,),null
1030,39,for,null
1031,39,12,number
1032,39,h,condition-unit
1033,39,to,null
1034,39,produce,null
1035,39,the,null
1036,39,final,null
1037,39,compound,unspecified-material
1038,39,.,null
1039,40,Hierarchical,property-misc
1040,40,3D,property-misc
1041,40,micro-,property-misc
1042,40,/,property-misc
1043,40,nano-V2O5,target
1044,40,spheres,property-misc
1045,40,were,null
1046,40,prepared,operation
1047,40,via,null
1048,40,a,null
1049,40,facile,null
1050,40,low,null
1051,40,temperature,null
1052,40,hydrothermal,meta
1053,40,method,meta
1054,40,.,null
1055,41,Typically,null
1056,41,",",null
1057,41,NH4VO3,precursor
1058,41,(,null
1059,41,ammonium,precursor
1060,41,metavanadate,precursor
1061,41,),null
1062,41,solution,material-descriptor
1063,41,",",null
1064,41,HCl,material
1065,41,",",null
1066,41,and,null
1067,41,poly,material
1068,41,(,material
1069,41,sodium,material
1070,41,4-styrenesulfonate,material
1071,41,),material
1072,41,(,null
1073,41,PSS,material
1074,41,",",null
1075,41,2,number
1076,41,mL,amount-unit
1077,41,),null
1078,41,were,null
1079,41,well,null
1080,41,mixed,operation
1081,41,in,null
1082,41,DI,material-descriptor
1083,41,(,null
1084,41,deionized,material-descriptor
1085,41,),null
1086,41,water,solvent
1087,41,.,null
1088,42,The,null
1089,42,pH,amount-unit
1090,42,of,null
1091,42,the,null
1092,42,mixed,null
1093,42,solution,unspecified-material
1094,42,was,null
1095,42,adjusted,operation
1096,42,to,null
1097,42,be,null
1098,42,less,null
1099,42,than,null
1100,42,2.7,number
1101,42,so,null
1102,42,as,null
1103,42,to,null
1104,42,assist,null
1105,42,the,null
1106,42,growth,null
1107,42,of,null
1108,42,V2O5[58],target
1109,42,.,null
1110,43,The,null
1111,43,resultant,null
1112,43,solution,unspecified-material
1113,43,was,null
1114,43,transferred,operation
1115,43,into,null
1116,43,a,null
1117,43,100,number
1118,43,mL,apparatus-unit
1119,43,Teflon,apparatus-descriptor
1120,43,-,apparatus-descriptor
1121,43,lined,apparatus-descriptor
1122,43,autoclave,synthesis-apparatus
1123,43,and,null
1124,43,heated,operation
1125,43,to,null
1126,43,180,number
1127,43,degC,condition-unit
1128,43,for,null
1129,43,24,number
1130,43,h,condition-unit
1131,43,in,null
1132,43,an,null
1133,43,electrical,apparatus-descriptor
1134,43,oven,synthesis-apparatus
1135,43,.,null
1136,44,After,null
1137,44,cooling,operation
1138,44,down,null
1139,44,naturally,null
1140,44,to,null
1141,44,room,condition-misc
1142,44,temperature,condition-misc
1143,44,",",null
1144,44,the,null
1145,44,precipitates,unspecified-material
1146,44,were,null
1147,44,washed,operation
1148,44,with,null
1149,44,DI,material-descriptor
1150,44,water,solvent
1151,44,and,null
1152,44,ethanol,solvent
1153,44,alternatively,null
1154,44,for,null
1155,44,several,condition-misc
1156,44,times,condition-misc
1157,44,to,null
1158,44,remove,null
1159,44,residual,null
1160,44,starting,null
1161,44,materials,unspecified-material
1162,44,before,null
1163,44,further,null
1164,44,characterization,null
1165,44,and,null
1166,44,electrochemical,null
1167,44,testing,null
1168,44,.,null
1169,45,Fabrication,null
1170,45,and,null
1171,45,performance,null
1172,45,of,null
1173,45,BaCe0.8Y0.2O3-δ-BaZr0.8Y0.2O3-δ,target
1174,45,bilayer,null
1175,45,electrolyte,null
1176,45,for,null
1177,45,anode,null
1178,45,-,null
1179,45,supported,null
1180,45,solid,null
1181,45,oxide,null
1182,45,fuel,null
1183,45,cells,null
1184,45,.,null
1185,46,BCY,material
1186,46,and,null
1187,46,BZCY,material
1188,46,powders,material-descriptor
1189,46,were,null
1190,46,fabricated,operation
1191,46,using,null
1192,46,a,null
1193,46,citric,material
1194,46,acid-nitrate,material
1195,46,gel,meta
1196,46,combustion,meta
1197,46,process,meta
1198,46,[15],reference
1199,46,.,null
1200,47,First,null
1201,47,",",null
1202,47,BaCO3,precursor
1203,47,",",null
1204,47,Ce(NO3)4*4H2O,precursor
1205,47,",",null
1206,47,Zr(NO3)4*5H2O,precursor
1207,47,and,null
1208,47,Y(NO3)3*6H2O,precursor
1209,47,was,null
1210,47,added,operation
1211,47,to,null
1212,47,a,null
1213,47,solution,material-descriptor
1214,47,of,null
1215,47,HNO3,solvent
1216,47,.,null
1217,48,After,null
1218,48,the,null
1219,48,solution,unspecified-material
1220,48,became,null
1221,48,clear,null
1222,48,",",null
1223,48,citric,material
1224,48,acid,material
1225,48,was,null
1226,48,added,operation
1227,48,in,null
1228,48,a,null
1229,48,1,number
1230,48,:,number
1231,48,1.5,number
1232,48,metal,nonrecipe-material
1233,48,ions,nonrecipe-material
1234,48,:,null
1235,48,citric,material
1236,48,acid,material
1237,48,molar,amount-unit
1238,48,ratio,amount-unit
1239,48,.,null
1240,49,The,null
1241,49,pH,amount-unit
1242,49,value,null
1243,49,was,null
1244,49,adjusted,operation
1245,49,to,null
1246,49,approximately,null
1247,49,7,number
1248,49,with,null
1249,49,ammonia,material
1250,49,.,null
1251,50,The,null
1252,50,solution,unspecified-material
1253,50,was,null
1254,50,continuously,null
1255,50,stirred,operation
1256,50,and,null
1257,50,heated,operation
1258,50,at,null
1259,50,70,number
1260,50,degC,condition-unit
1261,50,until,null
1262,50,a,null
1263,50,gel,unspecified-material
1264,50,formed,null
1265,50,.,null
1266,51,The,null
1267,51,gel,unspecified-material
1268,51,was,null
1269,51,then,null
1270,51,heated,operation
1271,51,on,null
1272,51,a,null
1273,51,hot,synthesis-apparatus
1274,51,plate,synthesis-apparatus
1275,51,and,null
1276,51,combusted,operation
1277,51,to,null
1278,51,form,null
1279,51,powder,material-descriptor
1280,51,precursors,unspecified-material
1281,51,",",null
1282,51,which,null
1283,51,were,null
1284,51,then,null
1285,51,calcined,operation
1286,51,at,null
1287,51,1000,number
1288,51,degC,condition-unit
1289,51,for,null
1290,51,3,number
1291,51,h,condition-unit
1292,51,to,null
1293,51,obtain,null
1294,51,a,null
1295,51,pure,material-descriptor
1296,51,",",material-descriptor
1297,51,crystalline,material-descriptor
1298,51,BCY,material
1299,51,and,null
1300,51,BZCY,material
1301,51,phase,null
1302,51,.,null
1303,52,NiO,material
1304,52,(,null
1305,52,basic,material-descriptor
1306,52,nickel,material
1307,52,carbonate,material
1308,52,decomposed,operation
1309,52,at,null
1310,52,600,number
1311,52,degC,condition-unit
1312,52,),null
1313,52,and,null
1314,52,BZCY,material
1315,52,were,null
1316,52,mixed,operation
1317,52,by,null
1318,52,ball,operation
1319,52,milling,operation
1320,52,in,null
1321,52,ethanol,solvent
1322,52,for,null
1323,52,24,number
1324,52,h,condition-unit
1325,52,in,null
1326,52,a,null
1327,52,weight,amount-unit
1328,52,ratio,amount-unit
1329,52,of,null
1330,52,60,number
1331,52,/,number
1332,52,40,number
1333,52,with,null
1334,52,10,number
1335,52,wt.,amount-unit
1336,52,%,amount-unit
1337,52,of,null
1338,52,starch,material
1339,52,as,null
1340,52,pore,material-descriptor
1341,52,formers,material-descriptor
1342,52,.,null
1343,53,The,null
1344,53,mixture,unspecified-material
1345,53,was,null
1346,53,dried,operation
1347,53,in,null
1348,53,an,null
1349,53,oven,synthesis-apparatus
1350,53,at,null
1351,53,60,number
1352,53,degC,condition-unit
1353,53,and,null
1354,53,prepared,operation
1355,53,as,null
1356,53,anode,null
1357,53,supporting,null
1358,53,substrates,null
1359,53,.,null
1360,54,(,material-descriptor
1361,54,001,material-descriptor
1362,54,),material-descriptor
1363,54,Si,precursor
1364,54,wafers,material-descriptor
1365,54,were,null
1366,54,etched,operation
1367,54,by,null
1368,54,mixed,material-descriptor
1369,54,solution,material-descriptor
1370,54,of,null
1371,54,0.4,number
1372,54,M,amount-unit
1373,54,AgNO3,material
1374,54,and,null
1375,54,HF,material
1376,54,for,null
1377,54,30,number
1378,54,min,condition-unit
1379,54,.,null
