Sentence #,Word,Tag
14,nanoparticles,B-property_misc
14,supported,null
14,on,null
14,metal,null
14,oxides,null
14,for,null
14,the,null
14,base,null
14,-,null
14,free,null
14,oxidation,null
14,of,null
14,glucose,null
14,to,null
14,gluconic,null
14,acid,null
14,.,null
15,Au,B-target
15,was,null
15,deposited,B-operation
15,on,null
15,the,null
15,metal,B-unspecified_material
15,oxides,I-unspecified_material
15,by,null
15,the,null
15,deposition,B-meta
15,-,I-meta
15,precipitation,I-meta
15,method.30,B-reference
15,A,null
15,solution,B-material_descriptor
15,of,null
15,HAuCl4*3H2O,B-precursor
15,(,null
15,175,B-number
15,mg,B-amount_unit
15,),null
15,in,null
15,deionized,B-material_descriptor
15,water,B-solvent
15,(,null
15,80,B-number
15,mL,B-amount_unit
15,),null
15,was,null
15,brought,B-operation
15,to,null
15,pH,B-condition_unit
15,10,B-number
15,by,null
15,adding,B-operation
15,a,null
15,NaOH,B-material
15,solution,B-material_descriptor
15,(,null
15,0.2,B-number
15,M,B-amount_unit
15,),null
15,.,null
16,This,null
16,solution,B-unspecified_material
16,was,null
16,mixed,B-operation
16,with,null
16,a,null
16,suspension,B-material_descriptor
16,containing,null
16,the,null
16,metal,B-unspecified_material
16,oxide,I-unspecified_material
16,(,null
16,2,B-number
16,g,B-amount_unit
16,),null
16,in,null
16,deionized,B-material_descriptor
16,water,B-solvent
16,(,null
16,25,B-number
16,mL,B-amount_unit
16,),null
16,.,null
17,After,null
17,stirring,B-operation
17,for,null
17,18,B-number
17,h,B-condition_unit
17,",",null
17,the,null
17,suspension,B-unspecified_material
17,was,null
17,filtered,B-operation
17,and,null
17,washed,B-operation
17,with,null
17,an,null
17,excess,B-amount_misc
17,amount,I-amount_misc
17,of,null
17,deionized,B-material_descriptor
17,water,B-material
17,until,null
17,no,null
17,more,null
17,chlorine,B-nonrecipe_material
17,could,null
17,be,null
17,detected,B-operation
17,by,null
17,the,null
17,AgCl,B-characterization_apparatus
17,test,I-characterization_apparatus
17,.,null
18,The,null
18,supported,B-material_descriptor
18,Au,B-material
18,catalyst,B-material_descriptor
18,was,null
18,dried,B-operation
18,overnight,B-condition_misc
18,at,null
18,80,B-number
18,degC,B-condition_unit
18,and,null
18,then,null
18,reduced,B-operation
18,for,null
18,4,B-number
18,h,B-condition_unit
18,at,null
18,225,B-number
18,degC,B-condition_unit
18,in,null
18,5,B-number
18,%,B-amount_unit
18,H2,B-gas
18,in,null
18,N2,B-gas
18,(,null
18,100,B-number
18,mL,B-condition_unit
18,min-1,I-condition_unit
18,),null
18,.,null
19,The,null
19,Au,B-target
19,/,I-target
19,AC,I-target
19,catalyst,B-property_misc
19,was,null
19,prepared,B-operation
19,according,null
19,to,null
19,the,null
19,procedure,null
19,reported,null
19,by,null
19,Biella,B-reference
19,et,I-reference
19,al.12,I-reference
19,A,null
19,solution,B-material_descriptor
19,of,null
19,HAuCl4*3H2O,B-precursor
19,(,null
19,1,B-number
19,L,B-amount_unit
19,",",null
19,100,B-number
19,μg,B-amount_unit
19,mL-1,I-amount_unit
19,),null
19,was,null
19,mixed,B-operation
19,with,null
19,2.5,B-number
19,g,B-amount_unit
19,of,null
19,a,null
19,2,B-number
19,wt,B-amount_unit
19,%,I-amount_unit
19,solution,B-material_descriptor
19,of,null
19,poly(vinyl,B-precursor
19,alcohol,I-precursor
19,),I-precursor
19,(,null
19,PVA,B-precursor
19,",",null
19,MW,B-amount_unit
19,~,null
19,10000,B-number
19,),null
19,.,null
20,To,null
20,this,null
20,solution,B-unspecified_material
20,",",null
20,0.1,B-number
20,M,B-amount_unit
20,NaBH4,B-precursor
20,solution,B-material_descriptor
20,(,null
20,20,B-number
20,mL,B-amount_unit
20,),null
20,was,null
20,added,B-operation
20,dropwise,B-condition_misc
20,",",null
20,leading,null
20,to,null
20,the,null
20,formation,B-operation
20,of,null
20,metallic,B-property_misc
20,Au,B-target
20,NPs,I-target
20,.,null
21,The,null
21,PVA,B-material_descriptor
21,stabilized,I-material_descriptor
21,Au,B-material
21,NPs,I-material
21,were,null
21,then,null
21,immobilized,B-operation
21,on,null
21,activated,B-material_descriptor
21,carbon,B-material
21,(,null
21,Darco(r),B-brand
21,",",null
21,100,B-number
21,mesh,B-property_unit
21,),null
21,by,null
21,adding,B-operation
21,2,B-number
21,g,B-amount_unit
21,of,null
21,the,null
21,support,B-unspecified_material
21,.,null
22,The,null
22,as-synthesized,null
22,Au,B-material
22,/,I-material
22,AC,I-material
22,catalyst,B-material_descriptor
22,was,null
22,filtered,B-operation
22,after,null
22,2,B-number
22,h,B-condition_unit
22,and,null
22,washed,B-operation
22,with,null
22,deionized,B-material_descriptor
22,water,B-solvent
22,.,null
23,Nanosized,B-property_misc
23,ceria,B-target
23,and,null
23,zirconia,B-target
23,",",null
23,hereafter,null
23,referred,null
23,to,null
23,as,null
23,nCeO2,B-target
23,and,null
23,nZrO2,B-target
23,",",null
23,were,null
23,synthesized,B-operation
23,according,null
23,to,null
23,a,null
23,previously,null
23,reported,null
23,method.30,B-reference
23,Briefly,null
23,",",null
23,an,null
23,aqueous,B-material_descriptor
23,solution,I-material_descriptor
23,of,null
23,Ce(NO3)3*6H2O,B-precursor
23,or,null
23,ZrO(NO3)2*xH2O,B-precursor
23,(,null
23,0.8,B-number
23,M,B-amount_unit
23,",",null
23,375,B-number
23,mL,B-amount_unit
23,),null
23,was,null
23,added,B-operation
23,to,null
23,a,null
23,solution,B-material_descriptor
23,of,null
23,NH4OH,B-precursor
23,in,null
23,deionized,B-material_descriptor
23,water,B-solvent
23,(,null
23,0.8,B-number
23,M,B-amount_unit
23,",",null
23,1.1,B-number
23,L,B-amount_unit
23,),null
23,.,null
24,After,null
24,stirring,B-operation
24,for,null
24,30,B-number
24,min,B-condition_unit
24,",",null
24,the,null
24,solution,B-unspecified_material
24,was,null
24,aged,B-operation
24,at,null
24,100,B-number
24,degC,B-condition_unit
24,for,null
24,24,B-number
24,h,B-condition_unit
24,in,null
24,a,null
24,polyethylene,B-apparatus_descriptor
24,vessel,B-synthesis_apparatus
24,.,null
25,The,null
25,mixture,B-unspecified_material
25,was,null
25,cooled,B-operation
25,down,null
25,",",null
25,filtered,B-operation
25,and,null
25,washed,B-operation
25,with,null
25,an,null
25,excess,B-amount_misc
25,amount,I-amount_misc
25,of,null
25,deionized,B-material_descriptor
25,water,B-material
25,.,null
26,The,null
26,resulting,null
26,particles,B-unspecified_material
26,were,null
26,dried,B-operation
26,under,null
26,vacuum,B-condition_misc
26,and,null
26,calcined,B-operation
26,under,null
26,an,null
26,air,B-gas
26,flow,B-condition_type
26,of,null
26,100,B-number
26,mL,B-condition_unit
26,min-1,I-condition_unit
26,at,null
26,400,B-number
26,degC,B-condition_unit
26,for,null
26,4,B-number
26,h,B-condition_unit
26,.,null
27,The,null
27,other,null
27,support,B-material_descriptor
27,materials,B-unspecified_material
27,were,null
27,purchased,B-operation
27,from,null
27,Sigma,B-brand
27,Aldrich,I-brand
27,and,null
27,used,B-operation
27,as,null
27,received,null
27,(,null
27,see,null
27,ESI+,null
27,),null
27,.,null
28,The,null
28,mixed,null
28,titania,B-target
28,phases,null
28,were,null
28,synthesized,B-operation
28,via,null
28,hydrothermal,B-meta
28,treatment,I-meta
28,in,null
28,alkaline,null
28,environment,B-unspecified_material
28,based,null
28,on,null
28,procedure,null
28,by,null
28,Yoshida,null
28,et,null
28,al.,null
28,[14],null
28,.,null
29,As,null
29,starting,null
29,material,null
29,TiO2,B-precursor
29,from,null
29,Umicore,B-brand
29,was,null
29,used,B-operation
29,which,null
29,was,null
29,mixed,B-operation
29,with,null
29,NaOH,B-material
29,in,null
29,distilled,B-material_descriptor
29,water,B-solvent
29,.,null
30,Throughout,null
30,stirring,B-operation
30,a,null
30,homogeneous,null
30,solution,B-unspecified_material
30,was,null
30,obtained,null
30,which,null
30,was,null
30,transferred,B-operation
30,into,null
30,a,null
30,Teflon,B-apparatus_descriptor
30,lined,I-apparatus_descriptor
30,autoclave,B-synthesis_apparatus
30,and,null
30,kept,B-operation
30,at,null
30,150,B-number
30,degC,B-condition_unit
30,for,null
30,72,B-number
30,h,B-condition_unit
30,.,null
31,After,null
31,cooling,B-operation
31,naturally,null
31,to,null
31,ambient,B-condition_misc
31,temperature,I-condition_misc
31,the,null
31,white,null
31,",",null
31,sorbet,null
31,-,null
31,like,null
31,product,B-unspecified_material
31,was,null
31,washed,B-operation
31,in,null
31,distilled,B-material_descriptor
31,water,B-solvent
31,to,null
31,eliminate,null
31,remaining,null
31,NaOH,B-material
31,before,null
31,washing,B-operation
31,in,null
31,0.1,B-number
31,M,B-amount_unit
31,HCl,B-material
31,at,null
31,pH,B-amount_unit
31,<,B-number
31,=,I-number
31,2,I-number
31,.,null
32,In,null
32,a,null
32,final,null
32,washing,B-operation
32,step,null
32,the,null
32,solution,B-unspecified_material
32,was,null
32,brought,B-operation
32,to,null
32,neutrality,B-condition_misc
32,.,null
33,Subsequently,null
33,the,null
33,product,B-unspecified_material
33,was,null
33,dried,B-operation
33,at,null
33,[,null
33,?,null
34,]100,B-number
34,degC,B-condition_unit
34,",",null
34,ground,B-operation
34,and,null
34,sieved,B-operation
34,to,null
34,a,null
34,50,B-number
34,μm,B-property_unit
34,mesh,B-property_type
34,.,null
35,In,null
35,a,null
35,final,null
35,preparation,null
35,step,null
35,the,null
35,white,null
35,powder,B-unspecified_material
35,samples,null
35,were,null
35,heat,B-operation
35,treated,I-operation
35,in,null
35,air,B-gas
35,at,null
35,450,B-number
35,degC,B-condition_unit
35,for,null
35,4,B-number
35,h,B-condition_unit
35,in,null
35,air,B-gas
35,.,null
36,NaV3(PO4)3,B-target
36,/,I-target
36,C,I-target
36,was,null
36,synthesized,B-operation
36,by,null
36,a,null
36,sol,B-meta
36,-,I-meta
36,gel,I-meta
36,process,I-meta
36,and,null
36,followed,null
36,by,null
36,carbon,null
36,thermal,null
36,reduction,null
36,synthesis,null
36,.,null
37,Typically,null
37,",",null
37,6,B-number
37,mmol,B-amount_unit
37,NH4VO3,B-precursor
37,were,null
37,added,B-operation
37,to,null
37,70,B-number
37,mL,B-amount_unit
37,deionized,B-material_descriptor
37,water,B-solvent
37,maintaining,B-operation
37,at,null
37,80,B-number
37,degC,B-condition_unit
37,with,null
37,continuous,null
37,stirring,B-operation
37,to,null
37,obtain,null
37,a,null
37,clear,null
37,yellow,null
37,solution,B-unspecified_material
37,",",null
37,and,null
37,then,null
37,6,B-number
37,mmol,B-amount_unit
37,NH4H2PO4,B-precursor
37,",",null
37,2,B-number
37,mmol,B-amount_unit
37,Na2CO3,B-precursor
37,and,null
37,4,B-number
37,mmol,B-amount_unit
37,citric,B-material
37,acid,I-material
37,were,null
37,added,B-operation
37,.,null
38,The,null
38,gel,B-unspecified_material
38,was,null
38,dried,B-operation
38,in,null
38,an,null
38,oven,B-synthesis_apparatus
38,at,null
38,150,B-number
38,degC,B-condition_unit
38,for,null
38,4,B-number
38,h,B-condition_unit
38,",",null
38,and,null
38,heat,B-operation
38,-,I-operation
38,treated,I-operation
38,at,null
38,400,B-number
38,degC,B-condition_unit
38,for,null
38,5,B-number
38,h,B-condition_unit
38,under,null
38,nitrogen,B-gas
38,atmosphere,null
38,to,null
38,remove,null
38,CO2,B-nonrecipe_material
38,",",null
38,H2O,B-nonrecipe_material
38,",",null
38,and,null
38,NH3,B-nonrecipe_material
38,.,null
39,Afterward,null
39,",",null
39,the,null
39,powder,B-unspecified_material
39,was,null
39,grounded,B-operation
39,and,null
39,annealed,B-operation
39,at,null
39,900,B-number
39,degC,B-condition_unit
39,under,null
39,H2,B-gas
39,/,I-gas
39,Ar,I-gas
39,flow,null
39,(,null
39,10,B-number
39,%,B-amount_unit
39,H2,B-gas
39,),null
39,for,null
39,12,B-number
39,h,B-condition_unit
39,to,null
39,produce,null
39,the,null
39,final,null
39,compound,B-unspecified_material
39,.,null
40,Hierarchical,B-property_misc
40,3D,I-property_misc
40,micro-,I-property_misc
40,/,I-property_misc
40,nano-V2O5,B-target
40,spheres,B-property_misc
40,were,null
40,prepared,B-operation
40,via,null
40,a,null
40,facile,null
40,low,null
40,temperature,null
40,hydrothermal,B-meta
40,method,I-meta
40,.,null
41,Typically,null
41,",",null
41,NH4VO3,B-precursor
41,(,null
41,ammonium,B-precursor
41,metavanadate,I-precursor
41,),null
41,solution,B-material_descriptor
41,",",null
41,HCl,B-material
41,",",null
41,and,null
41,poly,B-material
41,(,I-material
41,sodium,I-material
41,4-styrenesulfonate,I-material
41,),I-material
41,(,null
41,PSS,B-material
41,",",null
41,2,B-number
41,mL,B-amount_unit
41,),null
41,were,null
41,well,null
41,mixed,B-operation
41,in,null
41,DI,B-material_descriptor
41,(,null
41,deionized,B-material_descriptor
41,),null
41,water,B-solvent
41,.,null
42,The,null
42,pH,B-amount_unit
42,of,null
42,the,null
42,mixed,null
42,solution,B-unspecified_material
42,was,null
42,adjusted,B-operation
42,to,null
42,be,null
42,less,null
42,than,null
42,2.7,B-number
42,so,null
42,as,null
42,to,null
42,assist,null
42,the,null
42,growth,null
42,of,null
42,V2O5[58],B-target
42,.,null
43,The,null
43,resultant,null
43,solution,B-unspecified_material
43,was,null
43,transferred,B-operation
43,into,null
43,a,null
43,100,B-number
43,mL,B-apparatus_unit
43,Teflon,B-apparatus_descriptor
43,-,I-apparatus_descriptor
43,lined,I-apparatus_descriptor
43,autoclave,B-synthesis_apparatus
43,and,null
43,heated,B-operation
43,to,null
43,180,B-number
43,degC,B-condition_unit
43,for,null
43,24,B-number
43,h,B-condition_unit
43,in,null
43,an,null
43,electrical,B-apparatus_descriptor
43,oven,B-synthesis_apparatus
43,.,null
44,After,null
44,cooling,B-operation
44,down,null
44,naturally,null
44,to,null
44,room,B-condition_misc
44,temperature,I-condition_misc
44,",",null
44,the,null
44,precipitates,B-unspecified_material
44,were,null
44,washed,B-operation
44,with,null
44,DI,B-material_descriptor
44,water,B-solvent
44,and,null
44,ethanol,B-solvent
44,alternatively,null
44,for,null
44,several,B-condition_misc
44,times,I-condition_misc
44,to,null
44,remove,null
44,residual,null
44,starting,null
44,materials,B-unspecified_material
44,before,null
44,further,null
44,characterization,null
44,and,null
44,electrochemical,null
44,testing,null
44,.,null
45,Fabrication,null
45,and,null
45,performance,null
45,of,null
45,BaCe0.8Y0.2O3-δ-BaZr0.8Y0.2O3-δ,B-target
45,bilayer,null
45,electrolyte,null
45,for,null
45,anode,null
45,-,null
45,supported,null
45,solid,null
45,oxide,null
45,fuel,null
45,cells,null
45,.,null
46,BCY,B-material
46,and,null
46,BZCY,B-material
46,powders,B-material_descriptor
46,were,null
46,fabricated,B-operation
46,using,null
46,a,null
46,citric,B-material
46,acid-nitrate,I-material
46,gel,B-meta
46,combustion,I-meta
46,process,I-meta
46,[15],B-reference
46,.,null
47,First,null
47,",",null
47,BaCO3,B-precursor
47,",",null
47,Ce(NO3)4*4H2O,B-precursor
47,",",null
47,Zr(NO3)4*5H2O,B-precursor
47,and,null
47,Y(NO3)3*6H2O,B-precursor
47,was,null
47,added,B-operation
47,to,null
47,a,null
47,solution,B-material_descriptor
47,of,null
47,HNO3,B-solvent
47,.,null
48,After,null
48,the,null
48,solution,B-unspecified_material
48,became,null
48,clear,null
48,",",null
48,citric,B-material
48,acid,I-material
48,was,null
48,added,B-operation
48,in,null
48,a,null
48,1,B-number
48,:,I-number
48,1.5,I-number
48,metal,B-nonrecipe_material
48,ions,I-nonrecipe_material
48,:,null
48,citric,B-material
48,acid,I-material
48,molar,B-amount_unit
48,ratio,I-amount_unit
48,.,null
49,The,null
49,pH,B-amount_unit
49,value,null
49,was,null
49,adjusted,B-operation
49,to,null
49,approximately,null
49,7,B-number
49,with,null
49,ammonia,B-material
49,.,null
50,The,null
50,solution,B-unspecified_material
50,was,null
50,continuously,null
50,stirred,B-operation
50,and,null
50,heated,B-operation
50,at,null
50,70,B-number
50,degC,B-condition_unit
50,until,null
50,a,null
50,gel,B-unspecified_material
50,formed,null
50,.,null
51,The,null
51,gel,B-unspecified_material
51,was,null
51,then,null
51,heated,B-operation
51,on,null
51,a,null
51,hot,B-synthesis_apparatus
51,plate,I-synthesis_apparatus
51,and,null
51,combusted,B-operation
51,to,null
51,form,null
51,powder,B-material_descriptor
51,precursors,B-unspecified_material
51,",",null
51,which,null
51,were,null
51,then,null
51,calcined,B-operation
51,at,null
51,1000,B-number
51,degC,B-condition_unit
51,for,null
51,3,B-number
51,h,B-condition_unit
51,to,null
51,obtain,null
51,a,null
51,pure,B-material_descriptor
51,",",I-material_descriptor
51,crystalline,I-material_descriptor
51,BCY,B-material
51,and,null
51,BZCY,B-material
51,phase,null
51,.,null
52,NiO,B-material
52,(,null
52,basic,B-material_descriptor
52,nickel,B-material
52,carbonate,I-material
52,decomposed,B-operation
52,at,null
52,600,B-number
52,degC,B-condition_unit
52,),null
52,and,null
52,BZCY,B-material
52,were,null
52,mixed,B-operation
52,by,null
52,ball,B-operation
52,milling,I-operation
52,in,null
52,ethanol,B-solvent
52,for,null
52,24,B-number
52,h,B-condition_unit
52,in,null
52,a,null
52,weight,B-amount_unit
52,ratio,I-amount_unit
52,of,null
52,60,B-number
52,/,I-number
52,40,I-number
52,with,null
52,10,B-number
52,wt.,B-amount_unit
52,%,I-amount_unit
52,of,null
52,starch,B-material
52,as,null
52,pore,B-material_descriptor
52,formers,I-material_descriptor
52,.,null
53,The,null
53,mixture,B-unspecified_material
53,was,null
53,dried,B-operation
53,in,null
53,an,null
53,oven,B-synthesis_apparatus
53,at,null
53,60,B-number
53,degC,B-condition_unit
53,and,null
53,prepared,B-operation
53,as,null
53,anode,null
53,supporting,null
53,substrates,null
53,.,null
54,(,B-material_descriptor
54,001,I-material_descriptor
54,),I-material_descriptor
54,Si,B-precursor
54,wafers,B-material_descriptor
54,were,null
54,etched,B-operation
54,by,null
54,mixed,B-material_descriptor
54,solution,I-material_descriptor
54,of,null
54,0.4,B-number
54,M,B-amount_unit
54,AgNO3,B-material
54,and,null
54,HF,B-material
54,for,null
54,30,B-number
54,min,B-condition_unit
54,.,null
55,After,null
55,the,null
55,etching,null
55,process,null
55,",",null
55,the,null
55,by,B-unspecified_material
55,-,I-unspecified_material
55,products,I-unspecified_material
55,(,null
55,Ag,B-material
55,nanostructures,B-material_descriptor
55,),null
55,were,null
55,removed,B-operation
55,by,null
55,nitric,B-material
55,acid,I-material
55,",",null
55,leaving,null
55,the,null
55,nanowire,B-unspecified_material
55,bundles,B-material_descriptor
55,(,null
55,Fig.,null
55,1(a),null
55,),null
55,.,null
56,The,null
56,samples,B-unspecified_material
56,were,null
56,cleaned,B-operation
56,by,null
56,deionized,B-material_descriptor
56,water,B-solvent
56,and,null
56,dilute,B-material_descriptor
56,HF,B-solvent
56,is,null
56,used,B-operation
56,to,null
56,remove,null
56,the,null
56,surface,null
56,oxide,null
56,.,null
57,Then,null
57,different,null
57,amount,null
57,of,null
57,hydrazine,B-material
57,monohydrate,I-material
57,(,null
57,98,B-number
57,%,B-amount_unit
57,),null
57,was,null
57,controlled,B-operation
57,and,null
57,infiltrated,B-operation
57,through,null
57,the,null
57,as-formed,null
57,nanowires,B-unspecified_material
57,(,null
57,Fig.,null
57,1(b),null
57,),null
57,.,null
58,A,null
58,solution,null
58,of,null
58,mixing,B-operation
58,BiCl3,B-precursor
58,(,null
58,0.2,B-number
58,M,B-amount_unit
58,),null
58,in,null
58,nitric,B-solvent
58,acid,I-solvent
58,and,null
58,H6TeO6,B-precursor
58,(,null
58,0.15,B-number
58,M,B-amount_unit
58,),null
58,in,null
58,deionized,B-material_descriptor
58,water,B-solvent
58,was,null
58,prepared,B-operation
58,",",null
58,followed,B-operation
58,by,null
58,the,null
58,addition,B-operation
58,of,null
58,thioglycolic,B-material
58,acid,I-material
58,for,null
58,the,null
58,formation,null
58,of,null
58,the,null
58,mixed,null
58,complex,B-unspecified_material
58,at,null
58,room,B-condition_misc
58,temperature,I-condition_misc
58,.,null
59,Then,null
59,the,null
59,solution,null
59,temperature,null
59,was,null
59,raised,B-operation
59,to,null
59,90,B-number
59,degC,B-condition_unit
59,and,null
59,Bi2Te3,B-material
59,nanoparticles,B-material_descriptor
59,were,null
59,synthesized,B-operation
59,when,null
59,dipping,B-operation
59,the,null
59,hydrazine,B-material
59,-,null
59,coated,null
59,samples,null
59,in,null
59,the,null
59,as-prepared,null
59,solution,B-unspecified_material
59,for,null
59,the,null
59,reduction,null
59,of,null
59,the,null
59,Bi2Te3,B-material
59,(,null
59,Fig.,null
59,1(c),null
59,),null
59,.,null
60,The,null
60,as-synthesized,null
60,samples,B-unspecified_material
60,were,null
60,then,null
60,washed,B-operation
60,with,null
60,excess,null
60,acetone,B-solvent
60,and,null
60,dried,B-operation
60,by,null
60,N2,B-gas
60,blow,null
60,.,null
61,Photoinduced,null
61,electron,null
61,transfer,null
61,in,null
61,pentacoordinated,null
61,complex,null
61,of,null
61,zinc,B-target
61,tetraphenylporphyrin,I-target
61,and,null
61,isoquinoline,null
61,N-oxide,null
61,.,null
62,Tetraphenylporphine,B-target
62,(,null
62,TPP,B-target
62,),null
62,was,null
62,prepared,B-operation
62,from,null
62,pyrrole,B-precursor
62,and,null
62,benzaldehyde,B-precursor
62,in,null
62,boiling,B-material_descriptor
62,propionic,B-solvent
62,acid,I-solvent
62,[22],B-reference
62,.,null
63,Pyrrole,B-precursor
63,was,null
63,obtained,B-operation
63,by,null
63,the,null
63,known,null
63,method,null
63,[23],B-reference
63,using,null
63,the,null
63,thermal,B-operation
63,decomposition,I-operation
63,of,null
63,diammonium,B-material_descriptor
63,salt,I-material_descriptor
63,of,null
63,mucic,B-precursor
63,acid,I-precursor
63,which,null
63,was,null
63,prepared,B-operation
63,from,null
63,mucic,B-precursor
63,acid,I-precursor
63,and,null
63,NH4OH,B-precursor
63,.,null
64,Mucic,B-precursor
64,acid,I-precursor
64,was,null
64,synthesized,B-operation
64,by,null
64,galactose,B-operation
64,oxidation,I-operation
